BJD, RV
2454341.50370622, -4161.281
2454341.58430538, -4231.850
2454341.55360039, -4183.653
2454341.59189772, -4217.548
2454341.59960580, -4217.748
2454341.56123903, -4207.621
2454341.56893553, -4227.664
2454341.60336725, -4220.200
2454341.54590389, -4163.323
2454341.62290363, -4232.754
2454341.52691147, -4159.555
2454341.62707016, -4235.969
2454341.60711712, -4222.546
2454341.50753711, -4165.816
2454341.49610231, -4158.028
2454341.57660888, -4240.888
2454341.49231771, -4157.851
2454341.54214244, -4153.120
2454341.61117949, -4224.743
2454341.64602786, -4242.855
2454341.53826526, -4147.605
2454341.63831978, -4240.026
2454341.58803211, -4222.531
2454341.64997448, -4245.906
2454341.51901821, -4169.873
2454341.54980422, -4172.102
2454341.53059190, -4151.655
2454341.53442279, -4145.450
2454341.63079688, -4238.938
2454341.51141430, -4166.125
2454341.49982904, -4159.880
2454341.57281271, -4235.070
2454341.63466250, -4239.219
2454341.56506992, -4218.094
2454341.64238214, -4244.187
2454341.51525676, -4169.918
2454341.52296484, -4167.675
2454341.55739656, -4195.697
2454341.59562445, -4218.506
2454341.58035876, -4239.142
